Date,TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
9/1/0021,78,66,0,0,0
9/2/0021,79,63,0,0,0
9/3/0021,76,65,0,0,0
9/4/0021,75,64,0.02,0,0
9/5/0021,84,60,0,0,0
9/6/0021,82,62,0,0,0
9/7/0021,90,65,0.11,0,0
9/8/0021,82,58,0,0,0
9/9/0021,76,57,0,0,0
9/10/0021,81,60,0,0,0
9/11/0021,88,66,0,0,0
9/12/0021,90,71,0,0,0
9/13/0021,90,71,0,0,0
9/14/0021,88,67,0,0,0
9/15/0021,79,61,0,0,0
9/16/0021,83,59,0,0,0
9/17/0021,90,65,0.07,0,0
9/18/0021,77,69,0,0,0
9/19/0021,90,67,0,0,0
9/20/0021,84,71,0,0,0
9/21/0021,76,61,0.3,0,0
9/22/0021,63,56,0.33,0,0
9/23/0021,69,53,0,0,0
9/24/0021,80,52,0.15,0,0
9/25/0021,71,50,0,0,0
9/26/0021,84,56,0,0,0
9/27/0021,88,65,0,0,0
9/28/0021,73,63,0,0,0
9/29/0021,81,60,0,0,0
9/30/0021,81,60,0,0,0
10/1/0021,86,62,0,0,0
10/2/0021,82,69,0.05,0,0
10/3/0021,79,67,0.02,0,0
10/4/0021,73,65,0,0,0
10/5/0021,69,66,0,0,0
10/6/0021,69,65,0,0,0
10/7/0021,75,67,0.66,0,0
10/8/0021,76,63,0,0,0
10/9/0021,82,64,0.01,0,0
10/10/0021,84,72,0,0,0
10/11/0021,80,63,1.64,0,0
10/12/0021,66,56,0.03,0,0
10/13/0021,74,53,0.47,0,0
10/14/0021,71,60,0.15,0,0
10/15/0021,64,52,0.02,0,0
10/16/0021,60,44,0,0,0
10/17/0021,67,42,0,0,0
10/18/0021,72,45,0,0,0
10/19/0021,73,52,0,0,0
10/20/0021,73,53,0,0,0
10/21/0021,66,47,0,0,0
10/22/0021,56,45,0,0,0
10/23/0021,56,40,0,0,0
10/24/0021,52,41,2.69,0,0
10/25/0021,54,49,1.02,0,0
10/26/0021,56,41,0,0,0
10/27/0021,57,39,0,0,0
10/28/0021,56,48,0.34,0,0
10/29/0021,56,53,0.93,0,0
10/30/0021,58,45,0.07,0,0
10/31/0021,54,38,0,0,0
11/1/0021,49,34,0,0,0
11/2/0021,48,32,0,0,0
11/3/0021,46,30,0,0,0
11/4/0021,48,30,0,0,0
11/5/0021,52,34,0,0,0
11/6/0021,60,35,0,0,0
11/7/0021,66,41,0,0,0
11/8/0021,66,48,0,0,0
11/9/0021,57,43,0,0,0
11/10/0021,58,40,0,0,0
11/11/0021,58,38,0.52,0,0
11/12/0021,43,34,0.04,0,0
11/13/0021,41,34,0,0,0
11/14/0021,38,34,0.04,0,0
11/15/0021,36,30,0,0,0
11/16/0021,57,32,0,0,0
11/17/0021,62,41,0.19,0,0
11/18/0021,41,33,0,0,0
11/19/0021,40,26,0,0,0
11/20/0021,50,36,0,0,0
11/21/0021,55,30,0.03,0,0
11/22/0021,37,24,0,0,0
11/23/0021,43,25,0,0,0
11/24/0021,53,37,0.07,0,0
11/25/0021,49,24,0.01,0,0
11/26/0021,31,19,0,0,0
11/27/0021,41,30,0,0,0
11/28/0021,41,26,0,0,0
11/29/0021,41,26,0,0,0
11/30/0021,53,33,0,0,0
12/1/0021,48,35,0,0,0
12/2/0021,59,44,0,0,0
12/3/0021,51,39,0,0,0
12/4/0021,46,31,0,0,0
12/5/0021,43,35,0.26,0,0
12/6/0021,38,15,0,0,0
12/7/0021,25,13,0,0,0
12/8/0021,36,24,0,0,0
12/9/0021,47,28,0,0,0
12/10/0021,61,33,0.86,0,0
12/11/0021,59,30,0,0,0
12/12/0021,50,30,0,0,0
12/13/0021,50,36,0,0,0
12/14/0021,55,33,0.12,0,0
12/15/0021,66,52,0,0,0
12/16/0021,67,35,0.01,0,0
12/17/0021,42,28,0,0,0
12/18/0021,42,33,0.1,0,0
12/19/0021,40,32,0,0,0
12/20/0021,45,31,0,0,0
12/21/0021,44,27,0,0,0
12/22/0021,32,20,0,0,0
12/23/0021,47,28,0,0,0
12/24/0021,58,37,0,0,0
12/25/0021,59,35,0.07,0,0
12/26/0021,44,30,0.18,0,0
12/27/0021,48,34,0.27,0,0
12/28/0021,39,33,0.27,1.6,1
12/29/0021,39,32,0.02,0.2,0
12/30/0021,39,33,0,0,0
12/31/0021,46,34,0,0,0
1/1/0022,42,30,0.25,3.2,3
1/2/0022,32,16,0.06,1,3
1/3/0022,24,10,0,0,3
1/4/0022,36,24,0,0,2
1/5/0022,35,13,0,0,2
1/6/0022,16,6,0,0,2
1/7/0022,15,1,0,0,2
1/8/0022,36,15,0.02,0,1
1/9/0022,37,12,0,0,1
1/10/0022,20,8,0,0,1
1/11/0022,38,6,0,0,1
1/12/0022,42,30,0,0,0
1/13/0022,41,29,0,0,0
1/14/0022,38,28,0.03,0.4,1
1/15/0022,28,21,0.03,0.4,1
1/16/0022,30,14,0.01,0.2,1
1/17/0022,30,25,0,0,1
1/18/0022,45,22,0,0,0
1/19/0022,43,13,0,0,0
1/20/0022,22,9,0,0,0
1/21/0022,27,10,0,0,0
1/22/0022,36,20,0.01,0.2,0
1/23/0022,25,10,0.28,3.6,4
1/24/0022,29,13,0.11,2,4
1/25/0022,15,2,0,0,4
1/26/0022,15,-5,0,0,4
1/27/0022,33,14,0,0,3
1/28/0022,29,12,0.31,7.2,9
1/29/0022,23,9,0,0,6
1/30/0022,33,14,0,0,6
1/31/0022,35,28,0,0,5
2/1/0022,49,33,0.2,1.5,2
2/2/0022,33,19,0.76,9.5,11
2/3/0022,27,19,0,0,8
2/4/0022,26,12,0.02,0.3,7
2/5/0022,19,6,0,0,7
2/6/0022,33,18,0,0,7
2/7/0022,32,18,0,0,5
2/8/0022,41,18,0,0,4
2/9/0022,42,34,0,0,3
2/10/0022,36,28,0,0,2
2/11/0022,45,30,0.13,0.2,2
2/12/0022,31,15,0,0,1
2/13/0022,21,14,0,0,1
2/14/0022,27,15,0,0,1
2/15/0022,46,23,0,0,1
2/16/0022,54,43,1.13,0,0
2/17/0022,43,17,0.52,3.8,4
2/18/0022,32,8,0,0,3
2/19/0022,29,11,0,0,2
2/20/0022,49,18,0,0,0
2/21/0022,54,33,0,0,0
2/22/0022,54,25,1.09,0,0
2/23/0022,26,18,0,0.1,0
2/24/0022,29,24,0.08,1.2,1
2/25/0022,31,20,0.09,1.5,1
2/26/0022,33,15,0,0,1
2/27/0022,46,29,0,0,0
2/28/0022,55,29,0,0,0
3/1/0022,52,36,0,0,0
3/2/0022,60,34,0,0,0
3/3/0022,38,30,0,0,0
3/4/0022,43,30,0,0,0
3/5/0022,71,42,0.13,0,0
3/6/0022,61,38,0.12,0,0
3/7/0022,38,32,0.37,1.1,0
3/8/0022,42,28,0,0,0
3/9/0022,44,30,0,0,0
3/10/0022,33,26,0.05,0.9,1
3/11/0022,33,18,0.03,0.7,0
3/12/0022,23,13,0,0,0
3/13/0022,53,22,0,0,0
3/14/0022,65,40,0,0,0
3/15/0022,55,35,0,0,0
3/16/0022,72,38,0,0,0
3/17/0022,74,49,0,0,0
3/18/0022,50,42,0.76,0,0
3/19/0022,44,39,0.19,0,0
3/20/0022,65,34,0,0,0
3/21/0022,77,44,0,0,0
3/22/0022,62,50,0.13,0,0
3/23/0022,60,46,0.39,0,0
3/24/0022,46,41,0.13,0,0
3/25/0022,50,36,0.02,0,0
3/26/0022,36,29,0.01,0.1,0
3/27/0022,38,25,0,0,0
3/28/0022,35,25,0,0,0
3/29/0022,45,31,0,0,0
3/30/0022,64,45,1.32,0,0
3/31/0022,50,34,0.36,0.1,0
4/1/0022,47,33,0,0,0
4/2/0022,45,35,0.22,0,0
4/3/0022,49,33,0.15,0,0
4/4/0022,55,43,0.07,0,0
4/5/0022,55,39,0.03,0,0
4/6/0022,59,45,0.57,0,0
4/7/0022,46,41,0.07,0,0
4/8/0022,43,35,0.26,0.1,0
4/9/0022,50,34,0,0,0
4/10/0022,64,36,0,0,0
4/11/0022,63,48,0,0,0
4/12/0022,72,43,0,0,0
4/13/0022,72,42,0.5,0,0
4/14/0022,55,37,0,0,0
4/15/0022,56,42,0.05,0,0
4/16/0022,51,35,0,0,0
4/17/0022,43,34,0,0,0
4/18/0022,42,35,0.14,0.4,0
4/19/0022,51,38,0,0,0
4/20/0022,56,43,0.22,0,0
4/21/0022,71,51,0.07,0,0
4/22/0022,61,50,0.72,0,0
4/23/0022,86,57,0,0,0
4/24/0022,75,58,0.1,0,0
4/25/0022,58,42,0,0,0
4/26/0022,54,39,0,0,0
4/27/0022,44,36,0,0,0
4/28/0022,52,40,0,0,0
4/29/0022,70,51,0.01,0,0
4/30/0022,73,52,0.7,0,0
5/1/0022,59,51,0,0,0
5/2/0022,56,47,0,0,0
5/3/0022,52,45,1.17,0,0
5/4/0022,57,42,0,0,0
5/5/0022,54,45,0.23,0,0
5/6/0022,54,50,0.41,0,0
5/7/0022,65,48,0,0,0
5/8/0022,69,46,0,0,0
5/9/0022,85,57,0,0,0
5/10/0022,92,70,0,0,0
5/11/0022,91,77,0,0,0
5/12/0022,95,76,0,0,0
5/13/0022,93,71,0,0,0
5/14/0022,85,68,0,0,0
5/15/0022,79,59,0.05,0,0
5/16/0022,80,56,0,0,0
5/17/0022,68,54,0,0,0
5/18/0022,64,55,0.34,0,0
5/19/0022,88,56,0,0,0
5/20/0022,89,62,0.56,0,0
5/21/0022,64,57,0.28,0,0
5/22/0022,65,53,0,0,0
5/23/0022,63,48,0,0,0
5/24/0022,68,52,0,0,0
5/25/0022,83,58,0.21,0,0
5/26/0022,79,65,0.24,0,0
5/27/0022,65,52,0.13,0,0
5/28/0022,76,51,0,0,0
5/29/0022,87,65,0,0,0
5/30/0022,92,73,0,0,0
5/31/0022,90,75,0,0,0
6/1/0022,79,61,0.1,0,0
6/2/0022,79,60,0.02,0,0
6/3/0022,83,62,0,0,0
6/4/0022,72,59,0,0,0
6/5/0022,81,63,0,0,0
6/6/0022,76,60,0.91,0,0
6/7/0022,71,57,0,0,0
6/8/0022,72,58,0.47,0,0
6/9/0022,80,53,0,0,0
6/10/0022,82,59,0.02,0,0
6/11/0022,76,60,0,0,0
6/12/0022,74,60,0.09,0,0
6/13/0022,93,62,0,0,0
6/14/0022,100,75,0,0,0
6/15/0022,100,83,0,0,0
6/16/0022,97,75,0.11,0,0
6/17/0022,88,69,0,0,0
6/18/0022,76,59,0,0,0
6/19/0022,88,57,0,0,0
6/20/0022,97,67,0,0,0
6/21/0022,101,73,0,0,0
6/22/0022,92,74,0,0,0
6/23/0022,85,72,0,0,0
6/24/0022,93,67,0,0,0
6/25/0022,81,68,0.39,0,0
6/26/0022,83,68,0,0,0
6/27/0022,81,63,0,0,0
6/28/0022,88,62,0,0,0
6/29/0022,89,70,0,0,0
6/30/0022,94,74,0,0,0
7/1/0022,85,69,0.06,0,0
7/2/0022,86,65,0,0,0
7/3/0022,88,69,0,0,0
7/4/0022,90,72,0.19,0,0
7/5/0022,95,70,1.67,0,0
7/6/0022,82,72,0.33,0,0
7/7/0022,86,72,0,0,0
7/8/0022,81,72,0.02,0,0
7/9/0022,79,69,0,0,0
7/10/0022,88,62,0,0,0
7/11/0022,87,72,0,0,0
7/12/0022,88,71,0,0,0
7/13/0022,85,70,0,0,0
7/14/0022,82,64,0,0,0
7/15/0022,76,69,0.85,0,0
7/16/0022,78,71,0,0,0
7/17/0022,77,71,1.5,0,0
7/18/0022,91,71,0,0,0
7/19/0022,91,73,0,0,0
7/20/0022,89,78,0,0,0
7/21/0022,94,72,0,0,0
7/22/0022,92,71,0,0,0
7/23/0022,88,71,1.85,0,0
7/24/0022,88,74,0.56,0,0
7/25/0022,79,69,0,0,0
7/26/0022,83,68,0,0,0
7/27/0022,87,71,0.41,0,0
7/28/0022,83,70,0,0,0
7/29/0022,83,64,0,0,0
7/30/0022,85,66,0,0,0
7/31/0022,86,68,0,0,0
8/1/0022,89,75,0,0,0
8/2/0022,91,71,0,0,0
8/3/0022,95,76,,0,0
8/4/0022,85,75,0,0,0
8/5/0022,88,73,0,0,0
8/6/0022,95,77,0,0,0
8/7/0022,84,78,,0,0
8/8/0022,84,69,,0,0
8/9/0022,78,65,0,0,0
8/10/0022,87,62,0,0,
8/11/0022,80,68,0,0,0
8/12/0022,81,63,0,0,0
8/13/0022,80,69,0,0,0
8/14/0022,80,71,0,0,0
8/15/0022,81,69,0,0,0
8/16/0022,84,67,0,0,0
8/17/0022,84,65,0,0,0
8/18/0022,86,63,0,0,0
8/19/0022,88,69,0,0,0
8/20/0022,79,68,,0,0
8/21/0022,81,68,,0,0
8/22/0022,84,65,0,0,0
8/23/0022,86,65,0,0,0
8/24/0022,87,67,0,0,0
8/25/0022,83,68,,0,0
8/26/0022,80,67,0,0,0
8/27/0022,84,62,0,0,0
8/28/0022,92,72,0,0,0
8/29/0022,87,72,,0,0
8/30/0022,82,67,0,0,0
8/31/0022,87,64,0,0,0